id,tipo_es,tipo_gl,id_tipo,nombre,parroquia,barrio,calle,numero,lat,lon,codigo_postal,telefono,web
774,Otras instalacións,Outras instalacións,350,Pistas Atletismo Balaidos,VIGO,VIGO,RUA PABLO IGLESIAS,0,42.21087,-8.74208,36210,986213234,
817,Otras instalacións,Outras instalacións,350,Ciudad Deportiva del Mercantil - Bembrive,BEMBRIVE,XESTOSO,CTRA PLANTAS,131,42.17813,-8.67002,36313,986279916,
4794,Campo de Fútbol,Campo de Fútbol,183,Campo de Fútbol San Miguel,OIA,CABO ESTAI,CMÑO PIRUCHA,0,42.18397,-8.81057,36390,986490327,
775,Campo de Fútbol,Campo de Fútbol,183,Campo de Fútbol A Pitusa-C.F. A Pitusa Tomás Alonso,VIGO,VIGO,CMÑO BARCIELA,0,42.22320,-8.74191,36208,,
776,Campo de Fútbol,Campo de Fútbol,183,Campo de Fútbol Federativo Coia,VIGO,VIGO,RUA ROSAL (COIA),0,42.21457,-8.74688,36209,,
778,Campo de Fútbol,Campo de Fútbol,183,Campo de Fútbol A Bouza,VIGO,VIGO,PQUE BOUZA,0,42.21292,-8.74912,36213,,
780,Campo de Fútbol,Campo de Fútbol,183,Estadio de Futbol de Balaidos,VIGO,VIGO,AVDA BALAIDOS,0,42.21179,-8.73970,36210,986110900,
781,Campo de Fútbol,Campo de Fútbol,183,Campo de Fútbol Rápido de Bouzas (Baltasar Pujales),VIGO,VIGO,RUA EDUARDO CABELLO,0,42.22676,-8.75575,36208,986211021,http://www.rapidodebouzas.com/
790,Campo de Fútbol,Campo de Fútbol,183,Campo de Fútbol Municipal das Relfas (Sárdoma Moledo),SARDOMA,RELFAS,CMÑO CAMPO DA FEIRA,0,42.20710,-8.70900,36214,986481212,
792,Campo de Fútbol,Campo de Fútbol,183,Campo de Fútbol Municipal Monte da Mina (Castrelos),CASTRELOS,GALINDRA,CMÑO GALINDRA,0,42.20872,-8.72321,36213,986423459,
793,Campo de Fútbol,Campo de Fútbol,183,Campo de Fútbol A Guia (Teis C.F.),VIGO,VIGO,RUA DOCTOR CORBAL,0,42.25869,-8.70166,36207,,
798,Campo de Fútbol,Campo de Fútbol,183,Campo de Fútbol Santa Mariña - Cotogrande,CABRAL,BECERREIRA,SBIDA COTO GRANDE,0,42.21813,-8.64952,36318,986685514,http://www.udsantamarina.com
799,Campo de Fútbol,Campo de Fútbol,183,Campo de Fútbol Barreiro,LAVADORES,BARREIRO,AVDA RAMON NIETO,326,42.22861,-8.68079,36205,,
800,Campo de Fútbol,Campo de Fútbol,183,Campo de Fútbol Municipal do Meixueiro,LAVADORES,BOUCIÑA,CTRA VELLA MADRID,0,42.21685,-8.67755,36214,,
803,Campo de Fútbol,Campo de Fútbol,183,Campo de Fútbol Municipal Candeán,CANDEAN,IGREXA,SBIDA MADROA (CANDEAN),0,42.24685,-8.67432,36317,986376510,
804,Campo de Fútbol,Campo de Fútbol,183,Campos de Fútbol de A Madroa (Celta de Vigo),CANDEAN,IGREXA,SBIDA MADROA (CANDEAN),0,42.24615,-8.67205,36317,986281862,http://www.celtavigo.net
806,Campo de Fútbol,Campo de Fútbol,183,Campo de Fútbol Sampaio,VIGO,VIGO,RUA AREEIRO,0,42.24598,-8.67866,36215,,
810,Campo de Fútbol,Campo de Fútbol,183,Campo de Fútbol Alcabre - C.F. Alcabre,ALCABRE,AMEIXEIRA,CMÑO AMEIXEIRA,9,42.21892,-8.76629,36212,,http://www.arenasdealcabre.es
811,Campo de Fútbol,Campo de Fútbol,183,Campo de Fútbol Municipal de Fragoselo,CORUXO,FRAGOSELO,SBIDA SAN SEBASTIAN (CORUXO),0,42.17814,-8.76955,36330,,
812,Campo de Fútbol,Campo de Fútbol,183,Campo de Fútbol Bao-Coruxo,CORUXO,FONTELA,CTRA BAO,153,42.19600,-8.79195,36331,986491823,
4637,Campo de Fútbol,Campo de Fútbol,183,"Campo de Fútbol Carballal ""A Bandeira""",CABRAL,CARBALLAL,RUA CARBALLAL (CABRAL),0,42.24080,-8.63767,36318,,
777,Pabellón,Pavillón,184,Pavillón Polideportivo Bouzas,VIGO,VIGO,RUA EDUARDO CABELLO,0,42.22727,-8.75466,36208,986241008,
779,Pabellón,Pavillón,184,Pavillón Polideportivo de Coia,VIGO,VIGO,AVDA CASTELAO,66,42.21796,-8.75089,36209,986273952,
5035,Pabellón,Pavillón,184,Pavillón Polideportivo de Candeán,CANDEÁN,,,,42.24602,-8.66849,,,
791,Pabellón,Pavillón,184,Pavillón Polideportivo Sárdoma-Moledo,SARDOMA,RELFAS,CTRA MARCO,30,42.20737,-8.70714,36214,,
795,Pabellón,Pavillón,184,Pavillón Polideportivo Carballal-Cabral,CABRAL,REQUEIXO,RUA LOUREIRO (CABRAL),71,42.22894,-8.64391,36318,986211021,
796,Pabellón,Pavillón,184,Pavillón Polideportivo de Teis,VIGO,VIGO,AVDA GALICIA,105,42.25217,-8.68961,36216,986238988,
801,Pabellón,Pavillón,184,Pavillón Polideportivo Lavadores,LAVADORES,BAGUNDA,RUA PATEIRA,19,42.22663,-8.69851,36214,986273125,
807,Pabellón,Pavillón,184,Pavillón Polideportivo de Bembrive,BEADE,COUTADA,CMÑO CAPELA,0,42.19401,-8.69036,36313,986422360,
808,Pabellón,Pavillón,184,Pavillón Polideportivo Valadares,VALADARES,CARREGAL,,34,42.17471,-8.72135,36314,986468898,
4633,Pabellón,Pavillón,184,Pavillón Polideportivo Monte da Mina,CASTRELOS,GALINDRA,CMÑO GALINDRA,0,42.21031,-8.72286,36213,986420022,
4634,Pabellón,Pavillón,184,Pavillón Polideportivo Coruxo,COMESAÑA,TOMBO,CTRA CAMPOSANCOS,338,42.18647,-8.78318,36213,986423459,
786,Piscina,Piscina,185,Piscina Municipal do Carmen,FREIXEIRO,FREIXEIRO,RUA CARMEN,0,42.21877,-8.73077,36210,986295444,
794,Piscina,Piscina,185,Piscina Municipal de Teis,,,RUA COUTADAS,,42.24427,-8.70172,36207,986374649,
802,Piscina,Piscina,185,Piscina Municipal de Lavadores,LAVADORES,BAGUNDA,RUA PORTELA,50,42.22743,-8.69782,36205,986264744,
5034,Piscina,Piscina,185,Piscina Municipal de Valladares,VALADARES,,CMÑO VALADA,,42.17448,-8.72080,36314,,
788,Complejo Deportivo,Complexo Deportivo,206,Complexo Deportivo Travesas,VIGO,VIGO,AVDA CASTRELOS,1,42.21921,-8.73241,36210,986235901,
813,Complejo Deportivo,Complexo Deportivo,206,Complexo Deportivo Samil,NAVIA,PERTEGUEIRAS,AVDA SAMIL,32,42.20385,-8.77715,36212,986241579,
4632,Complejo Deportivo,Complexo Deportivo,206,Complexo Deportivo Balaidos,VIGO,VIGO,RUA CITROEN,0,42.21210,-8.73937,36210,986293208,
5032,Complejo Deportivo,Complexo Deportivo,206,Complexo Deportivo Navia,,,Rúa Rúa Lamela,,42.21338,-8.75757,,626191099,
5033,Complejo Deportivo,Complexo Deportivo,206,Complexo Deportivo Berbés,,Berbés,RUA GAITEIRO RICARDO PORTELA,,42.23741,-8.73018,36202,986204149,
784,Gimnasio Municipal,Ximnasio Municipal,207,Ximnasio Municipal do Berbés,VIGO,VIGO,RUA GAITEIRO RICARDO PORTELA,0,42.23537,-8.73172,36215,986237778,
787,Gimnasio Municipal,Ximnasio Municipal,207,Ximnasio Municipal do Carmen,VIGO,VIGO,RUA CARMEN,0,42.21941,-8.72962,36210,986236507,
